run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001765,Siderca SAI y C,Steel,4,5.405515042444797e-4,0.09623786477259455,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001765,Siderca SAI y C,Steel,5,0.002013031845329416,0.13170782335670683,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001935,Rashtriya Ispat Nigam Ltd,Steel,1,4.5285997174460135e-12,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001935,Rashtriya Ispat Nigam Ltd,Steel,2,1.0284240115066012e-6,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001935,Rashtriya Ispat Nigam Ltd,Steel,3,6.806431242611932e-5,7.51620987671231e-14,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001935,Rashtriya Ispat Nigam Ltd,Steel,4,5.754582291324084e-4,1.1191880755490047e-10,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001935,Rashtriya Ispat Nigam Ltd,Steel,5,0.0021182235591953313,9.185221250262998e-9,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002080,Magnitogorskiy Metallurgicheskiy Kombinat PAO,Steel,1,4.5285997174460135e-12,3.6490001690847595e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002080,Magnitogorskiy Metallurgicheskiy Kombinat PAO,Steel,2,1.0284240115066012e-6,0.010348534724821667,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002080,Magnitogorskiy Metallurgicheskiy Kombinat PAO,Steel,3,6.806431242611932e-5,0.033811746313530566,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
