run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010279,P100000121007-1,OrinoCo Iron,CVG Briquetera del Orinoco DRI plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010280,P100000120706-1,Seah Steel Holdings Corp,SeAH Steel Pohang plant,Steel,EAF-MM,1706289204.4075818,1577711116.8015594,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010294,P100000120055-1,Gerdau Acos Especiais SA,Gerdau Pindamonhangaba steel plant,Steel,EAF-MM,632638227.1970366,640058366.869637,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010295,P100000120494-1,Aceros de Guatemala SA,AG Sidegua Masagua steel plant,Steel,EAF-MM,374515147.81987125,442525761.8996414,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010298,P100000120062-1,Gerdau Long Steel North America,Gerdau Whitby Steel Mill,Steel,EAF-MM,1564098437.373617,1446235190.401429,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010298,P100000120931-1,Gerdau Long Steel North America,Gerdau Midlothian Steel Mill,Steel,EAF-MM,2132861505.509478,1972138896.0019493,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010298,P100000120932-1,Gerdau Long Steel North America,Gerdau Petersburg Steel Mill,Steel,EAF-MM,1421907670.3396518,1314759264.0012996,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010298,P100000120980-1,Gerdau Long Steel North America,Gerdau Cartersville steel plant,Steel,EAF-MM,1291092164.6684039,1193801411.7131798,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010300,P100000120727-1,Gerdau Corsa SAPI de CV,Gerdau Corsa Ciudad Sahagún steel plant,Steel,EAF-MM,925900277.2824022,1158549774.4459825,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010300,P100000120735-1,Gerdau Corsa SAPI de CV,Gerdau Corsa Tultitlán (Sidertul) steel plant,Steel,EAF-MM,560206067.8678344,703727118.160689,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010325,P100000120630-1,Acciai Speciali Terni SpA,Finarvedi Acciai Speciali Terni steel plant,Steel,EAF-MM,2681246662.588395,2479200275.9705157,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010326,P100000120811-1,Evraz NTMK AO,Evraz NTMK steel plant,Steel,BOF-BF,1686149844.4078379,322988719.97396463,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
